user_id,variation
6,Brown
8,Brown
11,Brown
660,Brown-Green
1,Blue-Green
13,Brown
661,Brown
14,Brown
16,Blue-Grey
17,Green
22,Green
23,Blue
26,Blue-Green
990,Blue
6599,Hazel
33,Brown
36,Hazel
38,Blue
42,Hazel
44,Brown
45,Blue-Green
55,Blue
58,Blue
644,Brown
646,Blue-Grey
5723,Brown
651,Blue
610,Brown
62,Brown
64,Blue
63,Blue
65,Mixed
66,Blue
72,Brown
71,Brown
75,Brown-Green
77,Hazel
81,Blue-Green
90,Hazel
656,Brown
658,Green
8266,Hazel
9056,Mixed
637,Green
112,Blue-Grey
500,Blue-Grey
74,Blue
99,Blue
110,Blue
115,Brown
126,Brown
123,Blue
144,Brown
141,Brown
146,Brown
596,Brown
613,Brown-Green
154,Brown
158,Brown
159,Blue-Green
168,Hazel
97,Blue
175,Brown
202,Blue
203,Brown
200,Blue
207,Blue
124,Green
215,Blue
216,Blue
232,Blue-Green
245,Brown
249,Blue
251,Blue-Green
253,Blue-Green
252,Blue
257,Blue-Green
241,Mixed
258,Hazel
259,Blue
262,Brown
266,Brown
268,Brown
272,Brown
276,Brown
280,Hazel
279,Brown
285,Brown
288,Green
291,Blue
292,Blue
293,Brown
295,Blue-Green
296,Hazel
287,Green
299,Hazel
305,Hazel
173,Blue
294,Blue
311,Brown
40,Blue
319,Blue-Green
322,Hazel
323,Brown
118,Brown
602,Blue
603,Brown
607,Blue
327,Blue-Grey
328,Brown-Green
177,Blue
609,Blue
339,Brown
337,Green
160,Blue-Green
592,Green
595,Hazel
340,Brown
341,Blue-Grey
344,Green
345,Blue-Grey
325,Hazel
589,Brown
503,Blue
347,Blue-Grey
349,Green
582,Brown
583,Blue-Grey
8999,Green
9023,Brown
581,Green
187,Brown
5924,Brown
350,Brown-Green
60,Hazel
352,Blue
353,Blue-Grey
357,Brown
358,Brown
580,Brown
363,Blue-Grey
556,Brown-Green
554,Brown-Green
561,Brown
563,Brown
21,Brown-Green
366,Brown
88,Blue-Grey
566,Brown
567,Green
376,Brown
572,Blue-Green
574,Blue
579,Blue
378,Blue
545,Brown-Green
4440,Brown
549,Brown
551,Blue-Green
380,Brown-Green
384,Blue
189,Brown
394,Green
539,Brown
397,Brown-Green
398,Blue
4441,Blue
406,Brown
411,Blue
415,Green
417,Brown-Green
420,Hazel
422,Blue
424,Green
427,Brown
429,Blue-Green
368,Blue-Grey
433,Blue-Grey
437,Green
542,Blue-Grey
502,Blue-Green
463,Blue-Grey
441,Blue
468,Hazel
473,Blue-Grey
35,Hazel
524,Blue
533,Blue
497,Mixed
506,Blue
481,Brown
483,Brown
488,Brown
495,Green
512,Blue
517,Brown
664,Brown
667,Blue-Green
668,Brown
675,Brown
678,Brown
684,Blue-Grey
687,Blue-Grey
683,Blue-Grey
688,Brown
682,Blue
693,Hazel
695,Blue-Green
697,Blue-Green
702,Mixed
994,Brown
704,Hazel
703,Green
705,Blue-Grey
701,Brown
9839,Brown
713,Brown
717,Blue-Grey
721,Blue-Grey
722,Brown-Green
726,Brown-Green
728,Blue-Green
734,Blue
686,Blue-Green
745,Brown
748,Brown
749,Blue
754,Brown
758,Blue
761,Hazel
762,Brown
1010,Brown
1013,Hazel
770,Brown-Green
775,Blue
777,Brown
776,Blue
774,Brown
778,Blue-Grey
779,Blue-Grey
781,Hazel
782,Green
792,Brown
645,Blue-Green
795,Green
798,Brown-Green
799,Brown-Green
763,Brown
806,Blue-Green
807,Brown-Green
808,Blue
809,Blue
811,Blue-Green
813,Brown
814,Mixed
816,Brown-Green
803,Brown
820,Brown
822,Green
440,Brown
151,Hazel
204,Blue-Green
827,Brown
829,Blue-Grey
15,Blue-Grey
832,Brown
835,Brown-Green
836,Blue-Grey
330,Blue
838,Brown
839,Blue-Grey
842,Blue-Green
845,Brown
850,Blue
854,Brown
860,Brown
862,Brown
52,Brown
871,Blue-Grey
865,Green
881,Blue
884,Blue
887,Blue
439,Blue-Green
894,Brown
895,Brown
897,Brown
898,Blue-Grey
903,Blue
904,Hazel
466,Brown
912,Blue
915,Blue
916,Brown
918,Brown
10,Brown
909,Blue
920,Brown
922,Brown
926,Brown
878,Green
924,Brown
932,Brown
937,Blue-Green
943,Brown
669,Blue
945,Blue-Grey
949,Blue-Grey
952,Green
966,Brown
951,Brown
968,Blue
954,Brown
972,Blue
1022,Blue-Green
1026,Hazel
1028,Blue
1034,Brown
1035,Brown-Green
1036,Brown
1037,Brown
1039,Blue
1040,Mixed
1059,Hazel
1017,Blue
1711,Blue-Grey
1785,Brown-Green
1600,Blue
1612,Blue
9426,Brown
9429,Green
1066,Blue-Grey
1075,Blue-Green
1076,Blue-Grey
1071,Brown-Green
1078,Brown
1077,Blue-Grey
1081,Brown
1085,Blue-Green
1092,Blue
1103,Blue
1111,Blue-Grey
1114,Brown
1121,Hazel
1125,Brown
1627,Brown
1129,Blue
1133,Blue
1134,Blue-Green
1136,Brown-Green
1142,Brown
1131,Blue
1147,Blue
1033,Brown
1165,Green
1163,Brown
1173,Brown
1174,Blue
1177,Blue-Green
1190,Green
1740,Brown
1195,Green
1196,Green
1233,Brown
1235,Brown
1250,Green
1275,Blue
1281,Brown
1274,Hazel
1288,Brown-Green
1269,Mixed
1325,Green
1312,Hazel
1375,Brown
1379,Blue-Grey
1392,Brown-Green
1393,Blue
1403,Brown
1415,Blue-Grey
1420,Brown
1424,Blue-Grey
1445,Green
1717,Hazel
1647,Green
1459,Blue
1759,Brown
1764,Blue
1461,Brown
8274,Brown
1668,Brown
1466,Brown
1467,Brown
1470,Brown
1491,Green
1494,Blue
1499,Blue-Green
10260,Brown
1514,Blue
1678,Brown
1519,Brown
1531,Hazel
1532,Brown
1537,Brown
1555,Brown
1566,Brown
1735,Brown
1802,Blue
8301,Blue-Green
1825,Brown
1834,Brown
1833,Blue
1867,Blue-Green
1875,Green
1877,Brown
1879,Brown
1963,Brown
1970,Blue
1952,Brown
1979,Hazel
1980,Hazel
1982,Brown
1991,Brown
2000,Blue-Green
1987,Brown
2004,Blue-Grey
2008,Brown-Green
2018,Brown
2023,Green
2024,Blue
2029,Blue
2030,Blue
2035,Brown
2053,Brown
2056,Blue
2070,Brown
2075,Brown
2077,Brown
2080,Blue-Green
2099,Blue-Grey
2101,Blue
2116,Blue-Grey
2133,Brown
1183,Brown
2153,Brown
2158,Mixed
2166,Blue
1996,Brown
2177,Blue
1189,Grey
2183,Hazel
1588,Blue
2162,Brown-Green
2199,Green
2202,Green
2203,Blue
2217,Brown
1472,Brown
2236,Brown
2238,Blue
2239,Brown
2240,Brown
2249,Blue-Green
2274,Blue-Grey
2275,Green
2278,Blue-Grey
2276,Brown
2279,Brown
2287,Brown
2288,Hazel
2291,Blue-Grey
2297,Hazel
2304,Blue
2307,Blue-Green
2314,Hazel
2316,Blue-Grey
2322,Blue-Green
2334,Blue-Green
2337,Grey
2350,Blue-Green
1209,Brown
2358,Brown
2361,Green
2356,Blue-Green
2354,Blue
2367,Blue-Green
2385,Brown-Green
2362,Green
2398,Green
210,Blue
2402,Brown
2421,Brown
2453,Hazel
2454,Blue
2455,Brown
2457,Hazel
2456,Blue
2498,Blue-Grey
2507,Mixed
2512,Brown-Green
2513,Brown
2535,Brown
2539,Blue
2542,Hazel
2568,Green
2570,Blue-Green
1259,Brown
2571,Brown
2574,Brown
2576,Brown
2616,Brown
2557,Brown
2207,Hazel
2617,Brown
2625,Blue
2628,Brown
2630,Green
2629,Green
1221,Brown-Green
2633,Blue
2562,Brown
2645,Brown
2648,Hazel
2660,Blue
2662,Brown
2665,Brown
1964,Blue
2675,Brown
2651,Blue
2687,Hazel
2691,Blue-Green
2694,Brown
2702,Brown
2700,Hazel
2707,Hazel
2715,Blue
2720,Hazel
2725,Brown
2729,Brown
2718,Blue-Green
2738,Blue
2739,Blue-Green
2748,Blue-Grey
2759,Brown
2797,Blue
2826,Blue
2839,Brown
2841,Brown-Green
2849,Brown
2856,Brown
2858,Brown-Green
2874,Blue-Grey
2886,Mixed
2887,Brown
2894,Blue
2901,Brown
2881,Green
2890,Blue-Green
2907,Brown
2920,Blue
2764,Blue-Green
2949,Brown
2953,Brown
2206,Green
2960,Brown
2958,Blue
2964,Brown-Green
2969,Green
2966,Hazel
2972,Brown
2980,Blue-Green
2994,Brown-Green
2996,Mixed
2998,Brown
3015,Brown
9430,Blue-Grey
3026,Green
3034,Hazel
3046,Brown
3048,Brown
3050,Brown
3068,Brown-Green
3069,Brown
3078,Blue
3080,Brown-Green
3085,Brown
3090,Hazel
9906,Green
3104,Blue-Green
3113,Brown
3122,Brown
3124,Brown
3129,Hazel
3130,Hazel
3137,Hazel
3140,Brown
3145,Hazel
3043,Brown
3167,Hazel
3176,Green
3179,Blue
2212,Blue-Green
3187,Blue-Grey
3192,Brown
3193,Blue-Grey
3196,Brown
3197,Hazel
3206,Blue-Green
3211,Brown-Green
3216,Blue-Green
3224,Green
3234,Green
3240,Blue
3275,Blue-Grey
5073,Green
3244,Green
3248,Green
3186,Blue-Green
3265,Blue-Grey
3266,Blue-Grey
3267,Brown
3277,Blue-Green
3280,Hazel
3160,Hazel
3301,Brown
3304,Brown
3340,Brown
12175,Blue
3321,Blue-Green
3324,Blue
3326,Green
3330,Brown
3335,Brown
3339,Brown
3320,Brown-Green
3343,Hazel
3344,Blue
3357,Brown
3354,Blue
3364,Brown
3370,Hazel
3375,Brown
4297,Blue-Grey
3393,Brown
3394,Brown
3399,Brown-Green
1975,Brown-Green
180,Hazel
3397,Brown
3199,Brown
3117,Blue
3415,Brown-Green
3417,Blue-Green
3422,Green
3423,Hazel
3454,Hazel
3449,Blue
3468,Brown
3471,Blue
3478,Hazel
3486,Brown
3494,Hazel
3499,Brown
3257,Brown-Green
3531,Blue
3543,Blue-Grey
298,Brown
3547,Brown-Green
3532,Green
3569,Blue-Green
3571,Hazel
3004,Blue-Grey
3582,Hazel
3593,Brown
3595,Blue-Grey
3598,Hazel
2941,Brown
3605,Brown-Green
3611,Blue
3615,Brown
3581,Hazel
3622,Brown
3624,Blue
3625,Brown
3626,Brown-Green
3639,Brown-Green
3642,Blue
3644,Blue
3643,Blue-Green
3655,Green
3682,Blue-Grey
3688,Green
3689,Brown-Green
3695,Brown-Green
3706,Blue-Green
3724,Blue
3728,Brown
3733,Blue-Grey
3806,Blue-Green
3766,Brown
3767,Hazel
3780,Brown
3782,Blue
3783,Brown-Green
3786,Blue
3788,Blue-Green
