id,characteristic,known_variations,number_of_users,number_variations
1,Eye color,"['Brown', 'Brown-green', 'Blue-green', 'Blue-grey', 'Green', 'Blue', 'Hazel (brown/green)', 'Hazel', 'Mixed', 'Light-mixed green', 'Dark blue', 'Dark brown', 'Blue-green ', 'Hazel/light brown', 'Braun', 'Gray-blue', 'Green-brown', 'Indeterminate brown-green with a subtle grey caste', 'Blue-grey; broken amber collarette', 'Blue grey', 'Rs12913832 aa', 'Brown-(green when external temperature rises)', 'Gg', 'Rs12913832 ag (they', 'Green-gray', 'Grey brown', 'Blue with yellow parts', 'Olive-brown ringing burnt umber-brown', 'Ambar-green', 'Blue-green; amber collarette, and gray-blue ringing', 'Green-hazel', 'Brown - brown and green in bright sunlight', 'Light blue-green', 'Unknown', 'Blue, grey, green, changing', 'Split - one side dark blue / other side light blue and green', 'Blue-green-grey', 'Blue-brown heterochromia', 'Dark grayish-blue eyes (like a stone)', 'Brown/black', 'Blue with a yellow ring of flecks that make my eyes look green depending on the light or my  mood     ', 'Hazel (light brown, dark green, dark blue)', 'Green ', 'Hazel/yellow', 'Red/blood', 'Amber - (yellow/ocre  brown)', 'Brown-amber', 'Brown center starburst, amber and olive green, with dark gray outer ring', 'Green-blue outer ring and brown flecks around iris', 'Blue-grey with central heterochromia', 'Black', 'Rs12913832 gg', 'Blue-green heterochromia', 'Green with brown freckles']",1803,54
3,Handedness,"['Right-handed', 'Left-handed', 'Ambidexterous', 'Right handed. left footed.', 'Left-handed for small motor movement, writing. right-handed for large motor movement, throwing', 'Ambidexterous, write with right hand', 'Right', 'Right handed', 'Left-handed in hockey and dominant left handed clapping; everything else right handed', 'Left-handed dominant, right-handed/ambidextrous  for sport.', 'Right-handed dominant, left-handed for eating, riding and sport when younger.', 'Primarily right-handed but for active, more detailed activities (e.g. writing, drawing, using scissors, etc.); less precise, slow, and less focused movements are done with my left hand (e.g. driving/steering, pulling/pushing to open doors, etc.)', 'Right-handed but throw ball overarm with my left', '70%', 'Left-handed trained right handed as child', 'Was born left handed but forced to be right', 'Right hand dominant but ambidextrous and ""goofy-footed"" in sports/larger motor movement', 'Right hand dominant; play multiple musical instruments,guitar, banjo, mandolin;baseball,switch hitter; ;fine motor skills ambidextrous', 'Left-handed, but write with right hand', 'Ambidexterous, write with left hand', 'Right-handed dominant with left for computer mouse', 'Right-handed. hit left-handed in baseball & golf', 'Mixed-handed (right for writing / left for other)', 'Right-handed - but play cards, pay at cash registers left-handed ', 'Cross-dominant, favouring right side somewhat more', 'Right handed but prefer dribbling basketball with left', 'Right-handed, but ambidexterous in sports, music, filing, cutting, etc.', 'Right-handed, but slightly ambidextrous.', 'Right handed but eat with left hand', 'Left-handed, do everything else right handed/footed. ', 'Mixed handed', 'Ambidexterous: more strength in left (torque: opening jars, toothbrush, pulling rope). minutiae/details with right (writing, threading needle).', 'Right-handed dominant, left-handed for eating', 'Right-handed for small motor movement, writing, small format painting. left-handed for large motor movement, throwing, large format painting']",1538,34
60,Sex,"['Male', 'Female', 'Man', 'Woman', 'Transgender mtf', 'Transgender ftm', 'Female but feel non-gendered', 'Female.  uploaded only mito.', 'Male but genderfluid', 'Trans woman', 'Love it', 'Transgender ftn', 'Non-binary xx / genderqueer female-bodied', 'Transgender intersex', 'Female ']",1382,15
15,Height,"['Tall ( >180cm )', '188cm', '6\'3""', 'Average  173cm', '5\'1"" or 155cm', 'Average ( 165cm < x < 180cm )', '183 cm', 'Average', '5\'8""', '5\'7""', '179 cm', '180cm', '5\'6""', 'Tall ', ""5'10''"", '6\'1""', '172cm', '186cm', '6\' 1"" - 185 cm', '5\'4""', '177.8 cm', '193cm', '188 cm', '5\'10""', '189cm', '5\'2""', '179cm', '180 cm', '5\'5""', '5\'9""', '172.72cm', 'Tall', '6\'2""', '5\'11""', '184cm', '168 cm', '175 cm', ""6'"", ""5'3''"", '178 cm', '173 cm', '5\'3""', '169.316', '190cm', '160 cm', '181cm', '182cm', '171 cm', 'Ttcc', '177cm', '165cm', '169 cm', '186 cm', '187cm', 'Gg', '195 cm', '6\'8""', '5\' 5""', '6\'4""', '192', ""5' 0'"", '5\' 6.5"" ', '6\'0"" - 183cm', ""5'4"", '176 cm', '4\'8""', '162.56', '6\'5""', '157cm', '170 cm', '185 cm', 'Rs6060371', '6\'6""', ""5'0"", '6`2""', '5\'0""', 'Well above the average for women ', '5\' 2 1/2""', '163.195cm', '5\'9""/176cm', '189 cm', '1m87', '5"" 9 1/2""', '4\' 11""', ""5'4 3/4, taller than all females in my family"", '6 ft 0 in', '167', '192cm', ""5'4''"", '5\' 3.5"" ', '197 cm', '5\'2.75"" at max', '163 cm', '>200cm', '5\'1.5""', '4\'11""', '5', '5’6', '162cm', '166cm', '200 cm', '167 cm', ""Don't know"", '164cm', '5\'5"" ', '174 cm', '5\'8.5""', '5\' 0""', 'Short (< 150cm)', '64""', '5’5”', ""4'10"", '5\'7.5""']",1378,113
13,Hair Color,"['Auburn (reddish-brown)', 'Blonde', 'Dirt-brown', 'Brown', 'Black', 'Light to medium brown', 'Brown-black', 'Dirt-blonde', 'Medium brown', 'Blond born, today dark brown', 'Dark brown', 'Light brown', 'Strawberry blonde', 'Auburn', 'Strawberry brown', 'Dark brown; red highlights', 'Red', 'Blackish brown', 'Dark blonde (light brown)', 'Light ashy brown', 'Cc', 'Medium brown with highlights', 'Red (gone blond-grey)', 'Blond', 'Dirty blonde, light brown, something?', 'Blonde as a child, to brown as an adult', 'Brown and silver', 'Caucasian', 'Dark blonde with a little of every colour but black.', 'Dark blonde as a child, dark brown as an adult', 'Blond as a child and light brown as an adult', 'Blonde to light brown as child, medium brown as adult with blonde highlights from sun', 'Reddish-brown', 'Dark brown; blonde highlights', 'Hair darkening with age, starting blonde, ending dark brown', 'Medium brown, red highlights', 'Blonde as a child, light brown as an adult', 'Auburn as a child, ash blonde as an adult', ' light blonde as a child and medium blonde as an adult. ', 'Darkest brown to black', 'White as a child, darkened to ash blond as an adult', 'Blond as a child.  dark blond as an adult.', 'Chestnut brown', 'Blonde as child, ash blonde as adult, early white', 'Strawberry blond as a child, now dark auburn brown', 'Dark blonde', 'Dark blonde as a child, chestnut brown as an adult', 'Dark blonde ', 'Bright copper ginger into my 40s. light auburn with grey temples as i age.', 'Blue']",951,50
26,Tongue roller,"['Tongue roller', 'Non-roller', 'Roller', 'Non ', 'No, but my siblings (7) can roll', 'Tongue folder', 'Yes', 'Tongue roller, can fold tongue into 3-leaf clover shape', 'No, but parent and a sibling can.']",849,9
16,Hair Type,"['Wavy', 'Straight', 'Baby fine/slightly wavy', 'Wavy-curly', 'Baby fine, slightly wavy, later straight', 'Mostly straight', 'Brown, straight,', 'Coarse, thick, curly', 'Dense, slightly wavy', 'Bald', 'Rs17646946 gg', 'Brown, straight, slight wave', 'Gg', 'Slightly straighter than average', 'Thick,wavy,straight', 'Mixed straight in some areas, curly in other sections', 'Fine, never gets long, breaks off at the end', 'Thick, dense, straight', 'Thick, slightly curly', 'Red, straight', 'Red, fine, wavy and dense', 'Red, wavy-curly, dense ', 'Fine/brown/curly', 'Curly', 'Fine, thin, slightly wavy', 'Brown, slightly wavy', 'Stick-straight *everywhere* but pubic region', 'Kinky 4c/b', 'Black, straight', 'Brown, curly', 'Fine, thin, curly', ""Straight fine until 30's, became wavy to curly after"", 'Fine, thin, loose curls as a child, straight with a minor wave as an adult', 'Near black, thick, slightly wavy', 'Rs3827760', 'Born thick and wavy, now fine and wavy', 'Fine stick straight but dense', 'Large volume of fine curly/wavy hair', 'Thick, straight with slight wave that flips outward near chin/neck length, mostly straight, multiple cow licks in back', 'Thick, curls with length', 'Thin, fine, thinned with age', 'Thick, brown, wavy/curly', 'Fine, wavy', 'Thick, fine, wavey-to-curly', 'Ginger, now white mostly, straight, curly at the neck', 'Medium thickness/wavy', 'Coarse,thick,wavy', 'Fine, thick, straight to wavy, ', 'Fine but straight', 'Straight but when moist get little bit wavy', 'Medium, loose curls', 'Fine, thick, wavy', 'Baby fine, straight, puberty became curly', 'Tight curls afro hair', 'Thick, straight in childhood became wavy in adulthood', 'Dry, coarse, thin, wavy-curly', 'Thick large curls and sandy red as child, turned dark brown and wavy by 8 years old', 'Fine, dense, body wave', 'Brown, fine, curly', 'Very fine, straight', 'Straight thin brown hair that flips up at the ends.', 'Thick, wavy, corse/frizzy', 'Straight, now bald']",804,63
19,Coffee consumption,"['1 cup/dday', '2 cups/day', 'I don´t drink cofee', '5 cups/day', '0 cups/day', '3 cups/day', 'Non-drinker', '7 cups/day', '4 cups/day', '10 cups/day plus', '1 cup/day', '1 cup/day to none', ""Don't drink coffee"", 'Dislike/do not drink', 'Coffee one day, green tea the next', '3 cups/daily', 'Different', '1  to 2 cups per day', 'Homocysteine', '4 cups/week', 'Occasionally ', '3-5 cups', 'Cc', ""Cc - don't drink coffee"", 'Aa super fast metabolizer', '2 cups/week', 'Slow metabolizer', 'Tea drinker', 'Espresso fiend', 'Fastest metabolizer - i live on caffeine', 'Rs2472297', 'Rs762551, rs2472297', '2 cups/day, fast metabolizer', 'I love coffee, but only drink it on occasion', 'I feel anxiety or feel sick after drinking coffee', '0-2 cups/day', 'Decaf only', '>600 mg caffeine/day', 'Xenobiotic polymorphism', '1 jet alert pill/day', '0-1 daily', 'None', 'A few cups a week']",768,43
25,Colour Blindness,"['False', 'Not colour blind', 'Not color blind', 'Mild red-green colour blind', 'Low light blue green colour blindness', 'Red-green colour blind', 'Mild blue-black colour blind', 'Carrier (eg: my brother and my son have colour blindness)', 'Trouble distinguishing between dark blue & black (not color blindness), dad had red-green color blindness', 'Not colour blind, but difficulty telling red/orange/pink apart sometimes', 'Not color blind, but my parent is color blind', 'Tritanomaly', 'Trouble distinguishing purples, dark blue, violets. ', 'No', 'Moderate to strong protanopia', 'N/a', 'Yes', 'Slight blue, purple']",747,18
2,Lactose intolerance,"['Lactose-intolerant', 'Lactose-tolerant', 'Lactose tolerant', 'Partially lactose intolerant - surfaces with a lot of dairy products in one day', 'False', 'Genetically intolerant but drink raw milk and eat lots of dairy.', 'Aa', 'Genetically intolerant, partial intolerance.', 'Rs4988235', 'Genetically tolerant-extrememly lactose intolerant', 'No', ' allergic to all forms of dairy ', 'Severe gi pain ', 'Only with cows milk products', 'Slight lactose intolerance', 'Lactose intolerance appearing with age at mid 40s.', 'Lactose tolerant till my 40s then became very intolerant.  genetics says i am intolerant.', 'Problems if i drink more 1 liter milk', 'No but i seem to have less inflammation in joints if avoid milk products', 'Lactose intolerant', 'Genetically tolerant but am intolerant']",719,21
